rank,company,revenue,profit,num. of employees,sector,city,state,Website
264,Group 1 Automotive,12043.8,174,15296,Retailing,Houston,TX,https://www.group1auto.com
265,Bed Bath & Beyond,12028.8,-137.2,62000,Retailing,Union,NJ,https://www.bedbathandbeyond.com
266,Unum Group,11998.9,1100.3,10300,Financials,Chattanooga,TN,https://www.unum.com
267,CSX,11937,3331,20908,Transportation,Jacksonville,FL,https://www.csx.com
268,AutoZone,11863.7,1617.2,75840,Retailing,Memphis,TN,https://www.autozone.com
269,Pacific Life,11847,725,3815,Financials,Newport Beach,CA,https://www.pacificlife.com
270,Vistra Energy,11809,928,5475,Energy,Irving,TX,https://www.vistraenergy.com
271,Charles Schwab,11785,3704,19700,Financials,San Francisco,CA,https://www.schwab.com
272,Crown Holdings,11665,510,33043,Materials,Yardley,PA,https://www.crowncork.com
273,Ally Financial,11618,1715,8700,Financials,Detroit,MI,https://www.ally.com
274,Laboratory Corp. of America (Labcorp),11554.8,823.8,65000,Health Care,Burlington,NC,https://www.labcorp.com
275,Live Nation Entertainment,11548,69.9,18200,Media,Beverly Hills,CA,https://www.livenationentertainment.com
276,Xcel Energy,11529,1372,11295,Energy,Minneapolis,MN,https://www.xcelenergy.com
277,Corning,11503,960,49500,Industrials,Corning,NY,https://www.corning.com
278,W.W. Grainger,11486,849,24550,Wholesalers,Lake Forest,IL,https://www.grainger.com
279,Ball,11474,566,18300,Materials,Broomfield,CO,https://www.ball.com
280,Fox,11389,1595,7700,Media,New York,NY,https://www.foxcorporation.com
281,Universal Health Services,11378.3,814.9,79050,Health Care,King of Prussia,PA,https://www.uhsinc.com
282,Baxter International,11362,1001,50000,Health Care,Deerfield,IL,https://www.baxter.com
283,Norfolk Southern,11296,2722,24587,Transportation,Norfolk,VA,https://www.norfolksouthern.com
284,Navistar International,11251,221,12300,Industrials,Lisle,IL,https://www.navistar.com
285,Adobe,11171.3,2951.5,22634,Technology,San Jose,CA,https://www.adobe.com
286,J.C. Penney,11167,-268,90000,Retailing,Plano,TX,https://www.jcpenney.com
287,Discovery,11144,2069,9200,Media,Silver Spring,MD,https://www.corporate.discovery.com
288,Keurig Dr Pepper,11120,1254,25500,"Food, Beverages & Tobacco",Burlington,MA,https://www.keurigdrpepper.com
289,Leidos Holdings,11094,667,34000,Technology,Reston,VA,https://www.leidos.com
290,IQVIA Holdings,11088,191,67000,Health Care,Durham,NC,https://www.iqvia.com
291,Reliance Steel & Aluminum,10973.8,701.5,15300,Materials,Los Angeles,CA,https://www.rsac.com
292,Nvidia,10918,2796,13775,Technology,Santa Clara,CA,https://www.nvidia.com
293,Entergy,10878.7,1241.2,13635,Energy,New Orleans,LA,https://www.entergy.com
294,FirstEnergy,10850,912,12316,Energy,Akron,OH,https://www.firstenergycorp.com
